-4.6154788929e+000	-5.2710611726e+000	2.1501233017e+001	
-4.6379584559e+000	-5.1135892779e+000	2.1430896604e+001	
-5.0107791361e+000	-8.0896435281e+000	3.4625798066e+001	
-1.6050966956e+001	-1.1458487220e+001	4.9836166818e+001	
-4.4564428309e+000	-8.1210384595e+000	3.5080928955e+001	
-1.6646161062e+001	-1.1497782147e+001	5.0475955155e+001	
-4.8029983020e+000	-4.7364937323e+000	2.1392853456e+001	
-4.6466617179e+000	-4.7580276887e+000	2.1450073941e+001	
-4.9613221574e+000	-4.6459361087e+000	2.1292115341e+001	
-1.4935685310e+001	-1.1101390368e+001	5.1862009843e+001	
-4.3653286484e+000	-4.6219157718e+000	2.1585764660e+001	
9.7966414155e+000	-7.4732868395e+000	3.6282573887e+001	
1.0199336635e+001	-7.4579569906e+000	3.6176236340e+001	
8.5514175359e+000	-7.4154962491e+000	3.6148323263e+001	
1.0453939584e+001	-7.3763582850e+000	3.5951548725e+001	
-1.5471041619e+001	-1.1237263129e+001	5.5401950527e+001	
6.1788468202e+000	-7.5331089163e+000	3.6970767333e+001	
6.9655954047e+000	-7.4974732382e+000	3.6683577629e+001	
2.7374096085e+000	-1.7175900707e+000	8.4456375543e+000	
4.1227856134e+000	-7.5843130997e+000	3.7393879735e+001	
5.0253011351e+000	-7.5758279266e+000	3.7331790322e+001	
5.2303770547e+000	-7.4001428957e+000	3.6585305232e+001	
2.9152494968e+000	-7.3350850030e+000	3.6424994656e+001	
4.5987038164e+000	-7.5417956770e+000	3.7467469995e+001	
2.9124427018e+000	-1.7539817431e+000	8.7138110381e+000	
-3.3605250326e+000	-7.5456305777e+000	3.7579861755e+001	
3.3813458087e+000	-7.3858942653e+000	3.6770986867e+001	
4.1834246562e+001	-4.6499687824e+001	2.3141629719e+002	
1.0387226532e-002	-7.6481667822e+000	3.8354702818e+001	
7.4287280510e-001	-7.6962138004e+000	3.8509734163e+001	
1.6959771734e+000	-7.5623638678e+000	3.7887258287e+001	
1.5996182435e+000	-4.7121706060e+000	2.3693576114e+001	
-4.7797203948e+000	-4.1885412624e+000	2.1304181497e+001	
-1.5795849339e+000	-7.2350169038e+000	3.6848176199e+001	
8.6551413538e+000	-7.2304468193e+000	3.6590191981e+001	
-4.5181315350e+000	-4.3040141495e+000	2.1923950187e+001	
-3.2085721675e+000	-7.3314083789e+000	3.7519473392e+001	
-1.5752243383e+000	-6.1047578031e+000	3.1232282146e+001	
-4.9602340278e+000	-4.1472791660e+000	2.1272115122e+001	
1.9309930658e+000	-7.2683040404e+000	3.7496558941e+001	
8.9342658250e+000	-6.8020728158e+000	3.5057784249e+001	
7.7233303727e+000	-6.8064707080e+000	3.5423403810e+001	
-3.6771337106e+000	-7.1132092731e+000	3.7277153729e+001	
-4.6943122899e+000	-4.0836033755e+000	2.1505325591e+001	
-4.1483421336e+000	-4.0995352515e+000	2.1654163626e+001	
-7.6001388377e-001	-6.8611021958e+000	3.6414251394e+001	
-5.2686958969e+000	-3.9787271829e+000	2.1326417746e+001	
-4.1540141451e+000	-3.9896322160e+000	2.1600283475e+001	
-1.1008203996e+000	-6.9295360673e+000	3.7627642596e+001	
2.4304667978e+000	-6.4459507829e+000	3.4942173947e+001	
